,index,School,Type,startSalary,midSalary,mid10,mid25,mid75,mid90
159,23,Pennsylvania State University (PSU),Party,49900.0,85700.0,46300.0,62000.0,117000.0,160000.0
160,90,Pennsylvania State University (PSU),State,49900.0,85700.0,46300.0,62000.0,117000.0,160000.0
161,89,University of Georgia (UGA),State,44100.0,86000.0,43100.0,57800.0,118000.0,164000.0
162,22,University of Georgia (UGA),Party,44100.0,86000.0,43100.0,57800.0,118000.0,164000.0
163,88,Clemson University,State,48400.0,86000.0,50500.0,61800.0,111000.0,150000.0
164,87,University of Arizona,State,47500.0,86100.0,44800.0,61700.0,117000.0,160000.0
165,41,St. Olaf College,Liberal Arts,45300.0,86200.0,41300.0,61000.0,120000.0,185000.0
166,86,San Francisco State University (SFSU),State,47300.0,86400.0,45100.0,62700.0,114000.0,150000.0
167,85,University of Massachusetts (UMass) - Lowell,State,45400.0,86600.0,50900.0,65000.0,113000.0,158000.0
168,84,George Mason University,State,47800.0,86900.0,51300.0,67200.0,114000.0,150000.0
169,83,"California State University, Fullerton (CSUF)",State,45700.0,87000.0,45400.0,62500.0,119000.0,158000.0
170,81,University of Wisconsin (UW) - Madison,State,48900.0,87800.0,47400.0,62400.0,118000.0,170000.0
171,82,Louisiana State University (LSU),State,46900.0,87800.0,43700.0,61300.0,120000.0,165000.0
172,21,Louisiana State University (LSU),Party,46900.0,87800.0,43700.0,61300.0,120000.0,165000.0
173,80,University of Florida (UF),State,47100.0,87900.0,45400.0,62900.0,120000.0,172000.0
174,20,University of Florida (UF),Party,47100.0,87900.0,45400.0,62900.0,120000.0,172000.0
175,79,"California State University (CSU), Chico",State,47400.0,88100.0,46800.0,62800.0,122000.0,154000.0
176,78,University of Massachusetts (UMass) - Amherst,State,46600.0,88200.0,43100.0,61300.0,122000.0,168000.0
177,40,DePauw University,Liberal Arts,41400.0,88300.0,49500.0,57400.0,133000.0,185000.0
178,77,University of Connecticut (UConn),State,48000.0,88800.0,46100.0,66400.0,120000.0,162000.0
179,76,Purdue University,State,51400.0,90500.0,49900.0,67400.0,121000.0,168000.0
180,75,Rutgers University,State,50300.0,91800.0,48100.0,65100.0,128000.0,176000.0
181,74,State University of New York (SUNY) at Albany,State,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0
182,19,State University of New York (SUNY) at Albany,Party,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0
183,73,Stony Brook University,State,49500.0,93000.0,47200.0,67100.0,129000.0,181000.0
184,72,University of Michigan,State,52700.0,93000.0,50900.0,69400.0,128000.0,182000.0
185,11,South Dakota School of Mines & Technology,Engineering,55800.0,93400.0,71500.0,81900.0,122000.0,147000.0
186,71,University of Texas (UT) - Austin,State,49700.0,93900.0,50100.0,67400.0,129000.0,188000.0
187,18,University of Texas (UT) - Austin,Party,49700.0,93900.0,50100.0,67400.0,129000.0,188000.0
188,39,University of Richmond,Liberal Arts,48600.0,94600.0,44500.0,59400.0,151000.0,211000.0
189,70,"University of California, Santa Barbara (UCSB)",State,50500.0,95000.0,51300.0,71200.0,129000.0,173000.0
190,69,"University of Maryland, College Park",State,52000.0,95000.0,50400.0,68300.0,126000.0,166000.0
